row_index,tier,days_running_real,page_name_real,creative_type,ad_copy,headline,cta,ad_library_url,start_date_real,hook,hook_type,format_type,offer_structure,pain_point_addressed,lf8_driver,target_segment,visual_style,why_this_works,what_makes_it_weak,scalability_signal,gap_opportunity
0,TIER_2_PROVEN,181,Coursiv: No-Code AI,video,Kick-start your AI No-Code journey with Coursiv 🚀,Start Now,LEARN_MORE,https://www.facebook.com/ads/library/?id=9724468994250244,2025-03-01 08:00:00,Kick-start your AI No-Code journey with Coursiv 🚀,bold_claim,text_overlay_video,no_coding_required,I don't know where to start with AI and I'm not technical enough to code,to_be_superior_winning_keeping_up,absolute_beginner_curious_explorer,polished,"The 'No-Code' framing removes the biggest perceived barrier to entry for non-technical audiences, making AI feel immediately accessible and achievable rather than intimidating.","After 181 days the copy is almost certainly experiencing severe audience fatigue, and the generic 'Start Now' headline with 'Learn More' CTA creates a weak urgency-action mismatch that likely bleeds click-through rate.",medium,This ad ignores the fear-of-falling-behind angle entirely — a competitor could dominate by leading with a specific threat ('Your colleagues are already using AI to do your job faster') paired with a concrete 28-day transformation promise to drive urgency.
1,TIER_2_PROVEN,91,Coursiv,video,Stop guessing. Start selling. Let AI create your next winning ad 🚀,Start Now,LEARN_MORE,https://www.facebook.com/ads/library/?id=1024008499279287,2025-05-04 07:00:00,Stop guessing. Start selling.,bold_claim,text_overlay_video,time_saving,I don't know what's working and I'm wasting time figuring it out,to_be_superior_winning_keeping_up,aspiring_entrepreneur_sidehustler,polished,The 'stop/start' contrast creates instant pattern interruption and frames AI as the shortcut that eliminates the painful trial-and-error loop entrepreneurs already feel every day.,"At 91 days the creative is almost certainly in audience fatigue territory and the vague 'winning ad' promise gives no concrete mechanism or proof, making it easy to scroll past without believing it.",medium,"No competitor in this copy is showing a before/after of an actual bad ad transformed into a proven ad using AI, which would make the abstract promise viscerally tangible for the sidehustler segment."
2,TIER_2_PROVEN,90,Coursiv,video,Kick-start your AI journey with Coursiv 🚀,Start Now,LEARN_MORE,https://www.facebook.com/ads/library/?id=893907423094429,2026-01-04 08:00:00,Kick-start your AI journey with Coursiv 🚀,bold_claim,text_overlay_video,other,I don't know where to start with AI,to_be_superior_winning_keeping_up,absolute_beginner_curious_explorer,polished,"The launch-framing ('kick-start') paired with the rocket emoji taps into the fear of being left behind on AI, making inaction feel more costly than clicking.","The copy is generic and benefit-free — 'Start Now' and 'Learn More' create no urgency, no specificity, and no differentiation from dozens of competing AI course ads.",medium,"A competitor could dominate by leading with a concrete fear-based outcome — e.g., 'Your coworker is using AI to do your job in half the time' — directly targeting the career threat angle this ad completely avoids."
3,TIER_2_PROVEN,82,Coursiv,video,Devenez maître des outils d’IA avec Coursiv 🚀,Commencez maintenant,LEARN_MORE,https://www.facebook.com/ads/library/?id=484456921428322,2025-08-02 07:00:00,Devenez maître des outils d'IA avec Coursiv 🚀,bold_claim,text_overlay_video,career_outcome,Je ne sais pas par où commencer avec tous ces outils d'IA et j'ai peur de me faire dépasser,to_be_superior_winning_keeping_up,busy_knowledge_worker_28_50,polished,"The word 'maître' taps directly into the status and mastery desire of professionals who fear being left behind by AI, converting existential career anxiety into aspirational identity.","The copy is a single generic line with zero specificity — no pain acknowledgment, no timeframe, no proof — making it easy to scroll past without feeling personally addressed.",medium,"A competitor could dominate by leading with a specific fear-based hook targeting the non-technical worker — e.g. 'Pas de code, pas de diplôme tech — voici comment utiliser l'IA en 28 jours' — stealing the absolute beginner and career-switcher segments left completely untouched."
4,TIER_2_PROVEN,68,Coursiv,image,"In the next 5 years, AI will create more millionaires than the internet did in decades.
But here’s the truth: most people will keep wasting time on the wrong things.
If you disappear for just one mont",Start Now,LEARN_MORE,https://www.facebook.com/ads/library/?id=643268485527283,2026-01-19 08:00:00,"In the next 5 years, AI will create more millionaires than the internet did in decades.",bold_claim,static_image,challenge_28day,most people will keep wasting time on the wrong things,to_be_superior_winning_keeping_up,aspiring_entrepreneur_sidehustler,text_heavy,"It manufactures urgency through a wealth-window narrative — implying the opportunity is time-limited and that inaction is a choice to lose, triggering loss aversion more than aspiration.","The millionaire claim is hyperbolic and increasingly pattern-matched by savvy audiences as hype bait, which risks high scroll-past rates among the more skeptical career-switcher and busy professional segments who need credibility signals before commitment.",high,"The ad makes no mention of a non-technical or no-coding angle, leaving the absolute beginner and career-switcher segments underserved by a fear-of-failure barrier that a competitor could directly dismantle with a 'zero experience required' proof-forward creative."
5,TIER_2_PROVEN,67,Coursiv,video,¡Inicie su viaje hacia la IA con Coursiv 🚀,¡Empezar ahora!,LEARN_MORE,https://www.facebook.com/ads/library/?id=3968075280114747,2025-02-19 08:00:00,¡Inicie su viaje hacia la IA con Coursiv 🚀,bold_claim,text_overlay_video,career_outcome,no sé por dónde empezar con la IA,to_be_superior_winning_keeping_up,absolute_beginner_curious_explorer,polished,"The journey framing lowers perceived barrier to entry by positioning AI learning as an accessible starting point rather than a technical mountain, directly disarming the beginner's fear of complexity.","The copy is entirely generic with zero specificity — no timeframe, no outcome, no proof — making it easy to scroll past because it promises nothing concrete that separates it from any other AI course ad.",medium,"A competitor could dominate by leading with a specific fear-based hook targeting Spanish-speaking professionals afraid of job displacement by AI, pairing it with a concrete 28-day non-technical outcome claim."
6,TIER_2_PROVEN,64,Coursiv,video,Dê o pontapé inicial em sua jornada de IA com o Coursiv 🚀,Comece agora,LEARN_MORE,https://www.facebook.com/ads/library/?id=1512273043462630,2025-09-05 07:00:00,Dê o pontapé inicial em sua jornada de IA com o Coursiv 🚀,direct_offer,text_overlay_video,other,não sei por onde começar com IA,to_be_superior_winning_keeping_up,absolute_beginner_curious_explorer,polished,The 'first step' framing lowers the psychological barrier to entry by making the commitment feel small and non-threatening for someone paralyzed by where to start.,"The copy is entirely benefit-free and generic — it names no outcome, no pain, no differentiator, giving the audience no reason to choose Coursiv over any other AI course.",medium,A competitor could dominate by leading with a specific fear-based outcome — e.g. 'your colleagues are already using AI to do your job in half the time' — directly targeting the 'falling behind' anxiety this ad completely ignores.
7,TIER_2_PROVEN,55,Coursiv,image,Become a certified AI Master with Coursiv 🚀,Start Now,LEARN_MORE,https://www.facebook.com/ads/library/?id=1654045809280360,2026-02-02 08:00:00,Become a certified AI Master with Coursiv 🚀,bold_claim,static_image,certificate,feeling left behind on AI and not knowing where to start,to_be_superior_winning_keeping_up,busy_knowledge_worker_28_50,polished,"The word 'certified' triggers status and credibility anxiety in professionals who fear being outpaced by AI-savvy peers, making the credential feel like a competitive shield.","The copy is entirely benefit-free beyond the badge — it names no specific outcome, timeline, or pain point, making it easy to scroll past without feeling personally addressed.",medium,"A competitor could win by leading with a specific fear-based hook — 'Your employer is already replacing roles with AI' — then showing a concrete 28-day non-technical path, directly targeting the career_switcher_45_plus segment that this ad leaves completely untouched."
8,TIER_2_PROVEN,50,Coursiv,video,Boost your productivity with Coursiv 🚀,Start Now,INSTALL_MOBILE_APP,https://www.facebook.com/ads/library/?id=10008461895940344,2025-06-24 07:00:00,Boost your productivity with Coursiv 🚀,bold_claim,screen_recording,time_saving,no time to keep up with AI tools as a busy professional,to_be_superior_winning_keeping_up,busy_knowledge_worker_28_50,polished,"The productivity promise taps into the fear of falling behind professionally, giving ambitious workers a guilt-free rationalization to install — it's an investment, not entertainment.","The copy is generic to the point of invisibility — 'boost your productivity' could belong to any app in any category, offering zero specific proof, differentiation, or emotional specificity to stop the scroll.",medium,A competitor could own the 'I'm not technical' angle with a fear-based hook showing a non-coder landing a higher-paying role using AI in under 28 days — specificity and outcome-first framing this ad completely ignores.
9,TIER_2_PROVEN,44,Coursiv,video,Diventa un maestro degli strumenti di IA con Coursev 🚀,Parti ora,LEARN_MORE,https://www.facebook.com/ads/library/?id=1360880828352998,2025-06-18 07:00:00,Diventa un maestro degli strumenti di IA con Coursev 🚀,bold_claim,text_overlay_video,career_outcome,non so da dove iniziare con tutti questi strumenti di IA,to_be_superior_winning_keeping_up,busy_knowledge_worker_28_50,polished,The word 'maestro' triggers status-seeking identity transformation — it promises not just skill acquisition but a leap in perceived competence and professional superiority in an AI-saturated market.,"The copy is a single generic line with zero specificity — no pain language, no time frame, no social proof, and no reason to click now, making it easy to scroll past without emotional friction.",medium,A competitor could dominate by leading with fear-of-obsolescence language — 'Il tuo lavoro cambierà nei prossimi 12 mesi: ecco come non restare indietro' — directly targeting the job-replacement anxiety this ad completely ignores.
10,TIER_2_PROVEN,34,Coursiv AI Mastery,video,Inizia il tuo percorso di AI No-Code con Coursiv! 🚀,Parti ora,LEARN_MORE,https://www.facebook.com/ads/library/?id=4015992871986354,2025-09-03 07:00:00,Inizia il tuo percorso di AI No-Code con Coursiv! 🚀,direct_offer,text_overlay_video,no_coding_required,non so da dove cominciare con l'AI e ho paura di restare indietro senza saper programmare,to_be_superior_winning_keeping_up,absolute_beginner_curious_explorer,polished,"The 'No-Code' framing removes the single biggest perceived barrier for non-technical beginners, making AI feel immediately accessible and achievable rather than intimidating.","The copy is generic and benefit-light — 'inizia il tuo percorso' communicates no concrete outcome, urgency, or differentiation, making it easy to scroll past without emotional engagement.",medium,A competitor could dominate by leading with a specific fear-based outcome — e.g. 'Il tuo lavoro potrebbe essere sostituito dall'AI nei prossimi 12 mesi — ecco come usarla tu per primo' — targeting the career threat angle this ad completely ignores.
11,TIER_2_PROVEN,33,Coursiv AI Mastery,video,CoursivでAIの旅を始めよう 🚀,今すぐ始める,LEARN_MORE,https://www.facebook.com/ads/library/?id=1375280674099408,2025-12-31 08:00:00,CoursivでAIの旅を始めよう 🚀,curiosity,text_overlay_video,other,AIを始めたいけど、どこから手をつければいいかわからない,to_be_superior_winning_keeping_up,absolute_beginner_curious_explorer,polished,"The 'journey' framing paired with the rocket emoji lowers the psychological barrier to entry by making AI feel like an adventure rather than a technical obstacle, directly appealing to beginners who fear being left behind.","The copy is extremely thin — no specific pain point, no proof, no outcome promise — meaning it relies almost entirely on the video to carry the conversion weight, creating high creative fatigue risk after 33 days.",medium,A competitor could dominate by leading with a specific fear-based outcome hook — such as 'AIに仕事を奪われる前に' (before AI takes your job) — targeting the career_switcher_45_plus segment with concrete 28-day skill milestones and no-coding reassurance that this ad completely ignores.
12,TIER_2_PROVEN,32,Coursiv,video,🚀ابدأ رحلتك في تعلّم الذكاء الاصطناعي مع Coursiv,ابدأ الآن,LEARN_MORE,https://www.facebook.com/ads/library/?id=2075422569914701,2026-03-02 08:00:00,🚀ابدأ رحلتك في تعلّم الذكاء الاصطناعي مع Coursiv,bold_claim,text_overlay_video,no_coding_required,لا أعرف من أين أبدأ في تعلم الذكاء الاصطناعي — where to start with AI,to_be_superior_winning_keeping_up,absolute_beginner_curious_explorer,polished,"The rocket emoji paired with 'ابدأ رحلتك' (start your journey) triggers a fear-of-missing-out response in Arabic-speaking audiences who feel left behind by the AI wave, making action feel urgent and aspirational at the same time.","The copy is generic and emotionally shallow — it names no specific pain, promises no concrete outcome, and 'Learn More' as a CTA creates friction by demanding curiosity rather than commitment, likely suppressing conversion rates after 30+ days.",medium,No competitor is directly targeting the fear of job replacement with a reassuring 'non-technical professional' angle in Arabic — an ad that opens with 'هل تخشى أن يأخذ الذكاء الاصطناعي وظيفتك؟' (Are you afraid AI will take your job?) and pivots to empowerment could dominate the career_switcher and busy_knowledge_worker segments.
13,TIER_2_PROVEN,31,Coursiv,video,Werden Sie mit Coursiv ein Meister der KI-Tools 🚀,Jetzt anfangen,LEARN_MORE,https://www.facebook.com/ads/library/?id=2723212081352785,2025-12-26 08:00:00,Werden Sie mit Coursiv ein Meister der KI-Tools 🚀,bold_claim,text_overlay_video,career_outcome,too many AI tools and not knowing where to start or how to keep up,to_be_superior_winning_keeping_up,busy_knowledge_worker_28_50,polished,"The promise of mastery over a chaotic, overwhelming AI landscape taps directly into the fear of falling behind professionally, making the aspiration of becoming an 'AI master' feel urgent and achievable.","The copy is extremely short and generic with no specificity on timeframe, outcome, or differentiation — 'Jetzt anfangen' and 'Learn More' create a weak CTA pairing that lacks urgency and leaves the value proposition almost entirely to the video to carry.",medium,"A competitor could exploit the unaddressed angle of non-technical identity reassurance — explicitly calling out 'no coding, no tech background needed' to convert the large segment of absolute beginners who self-select out before clicking."
14,TIER_1_ACTIVE,29,Coursiv,image,nan,Almaty Casting Call,LEARN_MORE,https://www.facebook.com/ads/library/?id=1369152725017515,2026-03-19 07:00:00,Almaty Casting Call,curiosity,static_image,other,not explicitly addressed — no copy present to surface a pain point,to_be_superior_winning_keeping_up,busy_knowledge_worker_28_50,polished,"The geo-specific 'casting call' framing creates intrigue and local relevance, triggering curiosity-driven clicks from Almaty-area users who feel personally called out.","Zero ad copy (nan) means the entire persuasion burden falls on the headline alone, leaving no room to address pain points, build trust, or convert interest into action.",medium,A competitor could immediately outperform this by pairing the local geo-hook with a concrete fear-based pain point — e.g. 'Almaty professionals are getting left behind by AI — here's how to catch up in 28 days' — converting curiosity into urgency.
