row_index,platform,app_name,rating,review_date,review_text,audience_segment,content_category,tension_tag,pain_quotes,benefit_quotes,consideration_set,summary
0,google_play,Coursiv,1,2026-03-30 16:30:41,"When I paid $40 for this app, I thought I was paying in full. I didn't realize that this is a subscription model. When they renewed, they charged me $80 for 3 months!! I have repeatedly asked for my money back, they have declined. They have offered me more of a service that I don't want, didn't enjo",unclear,abandonment_regret,unclear,"They didn't teach you how to use prompts | too basic | I have repeatedly asked for my money back, they have declined. | They have offered me more of a service that I don't want, didn't enjoy (too basic) and am never going to use again.",,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""When I paid $40 for this app, I thought I was paying in full. I didn't realize that this is a subscription model. When they renewed, they charged me $80 for 3 months!!""}, {""product_mentioned"": ""ChatGPT"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""You can learn all this on ChatGPT or Claude.""}, {""product_mentioned"": ""Claude"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""You can learn all this on ChatGPT or Claude.""}]","This 1-star review reveals a user who felt deceived by hidden subscription pricing, found the content too basic, was denied a refund, and ultimately dismissed Coursiv in favor of free tools like ChatGPT and Claude — with a truncated complaint specifically about the failure to teach prompt engineering."
1,google_play,Coursiv,4,2026-04-04 08:24:18,"I love the ease of the fill in the blank options. the only improvement I'd suggest is if we get it wrong is to give an option to give the reason why and or the explanation of the correct answer and not just go straight to the next question or next content, and or a second chance to correctly answer ",unclear,general_feedback,unclear,"why does it say ""almost right, or almost correct"" something like that, but then it doesn't give an explanation why or the correct answer",everything else is great,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""I love the ease of the fill in the blank options""}]","A generally satisfied Coursiv user (4/5) praises the fill-in-the-blank format but identifies a specific UX gap around feedback quality — the platform signals incorrect answers without explaining why or offering a second attempt, which frustrates the learning loop and represents a product improvement opportunity."
2,google_play,Coursiv,5,2026-04-08 02:18:30,"I've had minimal understanding of current AI, due primarily to lack of exposure. I wanted to learn about the different platforms to see if I could increase my income by using AI. This course is a PERFECT starting place for that - not too simple, but also not too advanced. AND, provides certificates ",aspiring_entrepreneur_sidehustler,course_recommendation,side_hustler,"I've had minimal understanding of current AI, due primarily to lack of exposure | I wanted to learn about the different platforms to see if I could increase my income by using AI","not too simple, but also not too advanced | provides certificates I can post on LinkedIn to prove I've done the studying | I could increase my income by using AI","[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""This course is a PERFECT starting place for that - not too simple, but also not too advanced.""}]","A self-described AI beginner with minimal prior exposure praises Coursiv as an accessible, income-focused entry point that also delivers LinkedIn-postable certificates, signaling strong demand for credentialed, non-technical AI education among income-motivated learners."
3,google_play,Coursiv,4,2026-04-03 19:22:00,When I saw the ad for Coursiv there was a set price for the course. On the next screen was an offer for am AI ton box and then a different price. And then again after continuing there was another price. The way they had it set up made it look like the price was just added together but what ended up ,unclear,general_feedback,unclear,I felt like it was a bait and switch | what ended up happening was they were each individual prices and I ended up spending over $200,,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""When I saw the ad for Coursiv there was a set price for the course. On the next screen was an offer for am AI ton box and then a different price. And then again after continuing there was another price. The way they had it set up made it look like the price was just added together but what ended up happening was they were each individual prices and I ended up spending over $200. I felt like it was a bait and switch""}]","This review reveals a significant trust and pricing transparency problem with Coursiv's upsell funnel, where a user felt deceived by stacked add-on offers that resulted in an unintended spend exceeding $200, signaling a conversion experience that damages brand credibility with price-sensitive prospects."
4,google_play,Coursiv,1,2026-03-05 06:37:35,"This company operates very shady. I signed up for the trial at $39.99 for 3 months. When I look at my Credit Card transactions I saw two charges at $39.99 and another charge at $49.99. So my expected $40 charge turned into $120. I reached out to them via email to discribe the discrepancy, and after ",unclear,general_feedback,unclear,This company operates very shady. | my expected $40 charge turned into $120 | after a few back and forth emails they only would give me a refund on the $49.99 | I would not give this company any stars simply for the way they operate and their customer service,,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""I signed up for the trial at $39.99 for 3 months. When I look at my Credit Card transactions I saw two charges at $39.99 and another charge at $49.99. So my expected $40 charge turned into $120.""}]","This 1-star review contains zero pain language matching AI-learning seed vocabulary and no competitor mentions; it is exclusively a billing fraud and customer service complaint about Coursiv, offering no signal on user upskilling needs, audience segment, or product-category sentiment beyond severe distrust of the platform's business practices."
5,google_play,Coursiv,4,2026-03-01 06:53:35,"I'm just beginning the course--2 days in. After getting past the Hard Sell to Buy More before you get to test the waters, I've enjoyed (and learned from) the lessons. Upon reading most of the bad reviews, it seems like most of the complaining subscribers did not do their due-diligence and read the d",absolute_beginner_curious_explorer,course_recommendation,professional_upskiller,After getting past the Hard Sell to Buy More before you get to test the waters,"I've enjoyed (and learned from) the lessons | So far, so good.","[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""I've enjoyed (and learned from) the lessons""}]","A brand-new user 2 days into Coursiv signals cautious early satisfaction, flagging an aggressive upsell funnel and billing confusion as friction points that deter beginners, while defending the platform against negative reviews by attributing them to user negligence rather than product failure."
6,google_play,Coursiv,5,2026-03-21 21:25:45,"I decided to learn more about AI and found Coursiv. The introductory pricing was appealing. I've only completed a few of AI models, but the amount I've learned about some of these models have exceeded my expectations and has given me the knowledge necessary to use AI effectively. I never realized th",absolute_beginner_curious_explorer,course_recommendation,professional_upskiller,I never realized there were so many differences.,"the amount I've learned about some of these models have exceeded my expectations and has given me the knowledge necessary to use AI effectively | I love the short courses in very easy formats. | The summarization with the key takeaways, at the end of each course, is very helpful. | Highly recommend!","[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""I decided to learn more about AI and found Coursiv.""}]","A self-identified beginner was drawn in by introductory pricing and found that Coursiv's short, digestible course format with end-of-lesson summaries delivered more practical AI knowledge than expected, converting them into a vocal advocate."
7,google_play,Coursiv,1,2026-03-17 07:12:26,"The material is not as up to date and thorough as it should be for a paid app. The AI lessons included here can easily be covered with the free guides that each AI engine already provides. And to top it off, they will advertise one price at sign up, but hit you with unauthorized charges after the fa",unclear,abandonment_regret,unclear,"The material is not as up to date and thorough as it should be for a paid app. | The AI lessons included here can easily be covered with the free guides that each AI engine already provides. | they will advertise one price at sign up, but hit you with unauthorized charges after the fact.",,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""The material is not as up to date and thorough as it should be for a paid app. The AI lessons included here can easily be covered with the free guides that each AI engine already provides. And to top it off, they will advertise one price at sign up, but hit you with unauthorized charges after the fact.""}]","This 1-star review signals that Coursiv's paid AI content fails to differentiate from freely available resources and compounds the trust problem with deceptive billing practices, making it a strong churn and credibility risk signal for the product."
8,google_play,Coursiv,1,2026-01-24 18:09:02,"I signed on for a week for $19.99. Thought the subscription ended after that, but it didn't. The price went up to $39.99 Every 28days supposedly. They have been debiting my account twice (2 times) a month Not just once for $39.99 😡. Not $39.99 Every 28 days as the agreement stated. They took $39.99 ",unclear,abandonment_regret,unclear,"They have been debiting my account twice (2 times) a month Not just once for $39.99 😡 | At this point they're just stealing my money | I haven't even been utilizing the app smh | Thought the subscription ended after that, but it didn't | Not $39.99 Every 28 days as the agreement stated | Watch ur Acct if you get the app",,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""I signed on for a week for $19.99. Thought the subscription ended after that, but it didn't. The price went up to $39.99 Every 28days supposedly. They have been debiting my account twice (2 times) a month Not just once for $39.99""}]","This 1-star review reveals a billing abuse pattern — double-charging within a 28-day cycle — combined with non-utilization of the product, signaling that predatory subscription mechanics are actively generating chargebacks, platform distrust, and public warnings that could suppress new user acquisition for Coursiv."
9,google_play,Coursiv,3,2026-01-04 06:34:05,"I am only two days in, and it's not bad. It just felt REALLY Skeezy when they offered the extra ""options"" after I already bought the training. Not pleased with that. Reviews say its hard to cancel and it auto renews. It was not at all clear that it auto renews and apparently for full price. But I al",unclear,general_feedback,unclear,"it felt REALLY Skeezy when they offered the extra ""options"" after I already bought the training | Reviews say its hard to cancel and it auto renews | It was not at all clear that it auto renews and apparently for full price",,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""it felt REALLY Skeezy when they offered the extra \""options\"" after I already bought the training. Not pleased with that. Reviews say its hard to cancel and it auto renews. It was not at all clear that it auto renews and apparently for full price.""}]","This review signals a trust and transparency problem with Coursiv's post-purchase upsell flow and auto-renewal practices, which risk undermining retention even among users who are still willing to engage with the product."
10,google_play,Coursiv,5,2025-12-15 09:07:06,"It doesn't make me feel overwhelmed... and it always allows me to revisit any task whenever,. In addition, it's pleasant to have optimism especially when you are learning... stay at your pace but then push a little harder and you will have that mental ""breakthrough"" that will expedite your spirit to",absolute_beginner_curious_explorer,success_story,professional_upskiller,It doesn't make me feel overwhelmed | not be mentally left behind,"stay at your pace but then push a little harder and you will have that mental ""breakthrough"" that will expedite your spirit to keep going further | it's pleasant to have optimism especially when you are learning | it always allows me to revisit any task whenever","[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""It doesn't make me feel overwhelmed... and it always allows me to revisit any task whenever""}]","A self-paced learner praises Coursiv for reducing overwhelm and enabling revisits to content at will, framing the platform as emotionally supportive and mentally accessible — suggesting the core user need is low-pressure progression over speed or credential outcomes."
11,google_play,Coursiv,5,2025-11-17 04:52:59,"Wasn't too keen on the method it uses at first and even considered cancelling at one point, but I decided to finish at least one course, the chat gpt course, and decide then. When I finished, I took the test and was amazed at how much I'd learned without even realizing it. I took the test, downloade",absolute_beginner_curious_explorer,success_story,professional_upskiller,Wasn't too keen on the method it uses at first and even considered cancelling at one point,"I took the test and was amazed at how much I'd learned without even realizing it | I took the test, downloaded my certificate, and now I'm hooked | Moving onto Midjourney today and plan on completing all the courses | Thank you for an awesome product!!!","[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""Thank you for an awesome product!!!""}]","A initially skeptical user who nearly churned was converted into an advocate after completing the ChatGPT course and earning a certificate, signaling that tangible credentialing and measurable learning milestones are key retention levers for hesitant new users."
12,google_play,Coursiv,1,2025-11-30 21:55:33,the app is pretty basic and provides basic skills to leverage Ai. I was already a chatgpt user and didn't really get much out of the courses. the micro learning becomes very redundant and requires a lot of constant tapping while the ai voice glitches reading it to you. overall I think for beginners ,busy_knowledge_worker_28_50,abandonment_regret,professional_upskiller,the micro learning becomes very redundant and requires a lot of constant tapping while the ai voice glitches reading it to you | I found it to be a waste of money and they kept charging me as a subscription | make sure you cancel right away if you dont intend to keep renewing as it's expensive,,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""the app is pretty basic and provides basic skills to leverage Ai. I was already a chatgpt user and didn't really get much out of the courses. the micro learning becomes very redundant and requires a lot of constant tapping while the ai voice glitches reading it to you. overall I think for beginners this would be a solid project. I found it to be a waste of money and they kept charging me as a subscription.""}]","An already-intermediate ChatGPT user found Coursiv too basic and repetitive for their skill level, flagging subscription billing friction as a key frustration — signaling the product may be poorly matched to users with any prior AI exposure."
13,google_play,Coursiv,1,2025-11-30 07:01:47,"DO NOT USE. Tried to cancel my subscription several times, then when I ended up contacting my credit card to stop the charges they replied direclty to the credit company, disputing the chargebacks saying I had been accessing and using the app on a regular basis, which is 100% untrue. I cannot emphas",unclear,abandonment_regret,unclear,"DO NOT USE. | Tried to cancel my subscription several times | they replied direclty to the credit company, disputing the chargebacks saying I had been accessing and using the app on a regular basis, which is 100% untrue | I cannot emphasize enough how problematic and difficult it has been to keep this company from stealing hundreds of dollars from me",,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""DO NOT USE. Tried to cancel my subscription several times, then when I ended up contacting my credit card to stop the charges they replied direclty to the credit company, disputing the chargebacks saying I had been accessing and using the app on a regular basis, which is 100% untrue. I cannot emphasize enough how problematic and difficult it has been to keep this company from stealing hundreds of dollars from me.""}]","This 1-star review contains zero learning or upskilling content and is exclusively a billing and consumer fraud complaint, signaling a serious trust and retention risk associated with Coursiv's cancellation and chargeback dispute practices."
14,google_play,Coursiv,1,2025-12-27 18:06:16,"I feel like the language to initial payment and renewal is a rip off they charged me twice at 39.00 for not a single module after having difficulty understanding how to use the app,I was promised a 30 guarantee to get a refund if I wasn't satisfied and that was a joke, just a AI email 1 second respo",unclear,abandonment_regret,unclear,having difficulty understanding how to use the app | not a single module after having difficulty understanding how to use the app | I was promised a 30 guarantee to get a refund if I wasn't satisfied and that was a joke | just a AI email 1 second response and denying my refund | the fleecing of our hard working money continues with Apps like this | BEWARE!,,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""they charged me twice at 39.00 for not a single module after having difficulty understanding how to use the app""}]","This 1-star review reveals a critical billing and onboarding failure — the user was charged twice ($78 total) without accessing any content, could not understand how to use the app, and was denied a promised 30-day refund via an automated AI response, signaling serious trust and UX breakdowns that are actively driving negative word-of-mouth."
15,google_play,Coursiv,1,2025-10-26 14:07:02,"I kept seeing Coursiv ads on Facebook, so I decided to try their $15 “intro to AI” course. The price seemed low-risk, but their registration process turned out to be very confusing on purpose. After signing up, I got a credit card alert showing an extra $50 charge for some “upgrade” I never meant to",unclear,general_feedback,unclear,"their registration process turned out to be very confusing on purpose | I got a credit card alert showing an extra $50 charge for some ""upgrade"" I never meant to buy | There's no phone number to call, only chat support | they refused to refund me or cancel the course",,"[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""Coursiv is a scam.""}]","This 1-star review reveals that Coursiv employed a deceptive upsell pattern during registration, charging an unauthorized $50 upgrade fee with no refund recourse, signaling a significant trust and billing integrity risk that could deter price-sensitive beginners drawn in by low-cost entry offers."
16,google_play,Coursiv,2,2025-12-04 06:58:11,"I used it for a week. There wasn't anything being taught that I couldn't figure out just by playing with various AI models for my purposes, so I unsubscribed about a month later. Today, months later, I saw they're still charging me! If you need AI for business purposes, this might be a good app for ",unclear,abandonment_regret,professional_upskiller,"Today, months later, I saw they're still charging me! | keep a close eye on your account if you unsubscribe","If you need AI for business purposes, this might be a good app for you.","[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""complained_about"", ""verbatim_quote"": ""I used it for a week. There wasn't anything being taught that I couldn't figure out just by playing with various AI models for my purposes, so I unsubscribed about a month later. Today, months later, I saw they're still charging me!""}]","This review reveals a self-sufficient user who found Coursiv's content redundant against hands-on AI experimentation, then experienced a billing failure post-cancellation — signaling a high churn risk among users confident enough to self-teach, compounded by a trust-destroying subscription management issue."
17,google_play,Coursiv,4,2025-09-11 17:38:08,"Interesting learning process. I see why so many might find it too easy, but they might be missing the point. By taking small steps, daily, it helps retain better the concepts. Definitely not for everyone. But can be engaging for others, specially if you have a very short attention span.",absolute_beginner_curious_explorer,course_recommendation,unclear,if you have a very short attention span,"By taking small steps, daily, it helps retain better the concepts | can be engaging for others, specially if you have a very short attention span","[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""Interesting learning process. I see why so many might find it too easy, but they might be missing the point. By taking small steps, daily, it helps retain better the concepts.""}]","This 4-star review defends Coursiv's bite-sized, incremental learning approach against criticism that it is too easy, suggesting the platform resonates with absolute beginners or attention-constrained learners who benefit from daily micro-steps rather than deep dives — with no competitor mentions, pain language around time or career anxiety, or technical barrier signals present."
18,google_play,Coursiv,4,2025-07-04 11:13:42,"Because this is a specific artistic AI, it looks, feels, and operates differently than the other AI programs that I've used. Information was chunked down to a very basic level and learning style. The artistic concepts were identified and accessed through multiple choice answers. I chose this AI beca",absolute_beginner_curious_explorer,course_recommendation,unclear,"it looks, feels, and operates differently than the other AI programs that I've used","Information was chunked down to a very basic level and learning style | The artistic concepts were identified and accessed through multiple choice answers | I chose this AI because it was ""different"". And it is!","[{""product_mentioned"": ""Coursiv"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""I chose this AI because it was \""different\"". And it is!""}]","This 4-star review signals a beginner-leaning user who was drawn to Coursiv's differentiated, simplified, artistic AI learning approach and validated their choice through its accessible multiple-choice format, suggesting Coursiv is winning users who feel alienated by conventional AI learning platforms."
19,google_play,Coursiv,5,2025-07-21 16:24:35,I have been trying Courses to learn how to operate the generative AI models and I find it very helpful and informative. They implemented technology to simulate your lessons on different levels as you progress with knowledge using various notable models and they integrate a vast amount of AI tools to,absolute_beginner_curious_explorer,course_recommendation,professional_upskiller,,I find it very helpful and informative. | they integrate a vast amount of AI tools to enhance your learning experience | i was surprised to see how many tools integrate with the system and it all compliments each other in a powerful way | I definitely recommend this app to anyone,"[{""product_mentioned"": ""Courses"", ""sentiment"": ""recommended"", ""verbatim_quote"": ""I have been trying Courses to learn how to operate the generative AI models and I find it very helpful and informative.""}]","A satisfied beginner-leaning user praises Coursiv (referenced as 'Courses') for its adaptive lesson progression, multi-model generative AI coverage, and broad tool integrations, signaling that breadth of AI tool exposure and structured skill leveling are key value drivers for this segment — though no pain language or competitor mentions are present to triangulate unmet needs."
